page,title,q_num,question,option_a,option_b,option_c,correct_letter,correct_text
01,Liczby naturalne,1,"Jak nazywamy liczby do liczenia: 1, 2, 3, 4…?",liczby ujemne,liczby naturalne,ułamki,B,liczby naturalne
01,Liczby naturalne,2,Ile jest cyfr od 0 do 9?,10,100,9,A,10
01,Liczby naturalne,3,Cyfra to…,jednostka długości,wynik dodawania,„klocek” do budowania liczb,C,„klocek” do budowania liczb
01,Liczby naturalne,4,W liczbie 347 cyfra 3 oznacza…,3 jednostki,3 setki,3 dziesiątki,B,3 setki
01,Liczby naturalne,5,"Pierwszy, drugi, trzeci — to…",liczby porządkowe,ułamki,liczby parzyste,A,liczby porządkowe
01,Liczby naturalne,6,Zero oznacza…,sto,dziesięć,nic / pusto,C,nic / pusto
01,Liczby naturalne,7,Liczba 8 jest…,nieparzysta,parzysta,ujemna,B,parzysta
01,Liczby naturalne,8,Który zapis jest prawdziwy?,3 < 7,3 = 7,3 > 7,A,3 < 7
01,Liczby naturalne,9,Poprzednik liczby 9 to…,19,10,8,C,8
01,Liczby naturalne,10,Zaokrąglenie 47 do dziesiątek to…,40,50,47,B,50
02,Liczby rzymskie,1,Ile jest podstawowych znaków rzymskich?,5,7,10,B,7
02,Liczby rzymskie,2,V = ?,5,1,10,A,5
02,Liczby rzymskie,3,X = ?,50,5,10,C,10
02,Liczby rzymskie,4,IV = ?,6,4,14,B,4
02,Liczby rzymskie,5,VI = ?,6,16,4,A,6
02,Liczby rzymskie,6,"Gdy mniejszy znak stoi po lewej, to…",mnożymy,dodajemy,odejmujemy,C,odejmujemy
02,Liczby rzymskie,7,"Gdy mniejszy znak stoi po prawej, to…",odejmujemy,dodajemy,dzielimy,B,dodajemy
02,Liczby rzymskie,8,LXIV = ?,64,104,46,A,64
02,Liczby rzymskie,9,Gdzie spotykamy liczby rzymskie?,tylko w ułamkach,tylko w sklepie,"zegary, rozdziały, filmy",C,"zegary, rozdziały, filmy"
02,Liczby rzymskie,10,C = ?,50,100,500,B,100
03,Liczby całkowite,1,Na lewo od zera na osi są…,liczby dodatnie,liczby ujemne,tylko ułamki,B,liczby ujemne
03,Liczby całkowite,2,Na prawo od zera są…,liczby dodatnie,tylko zera,liczby ujemne,A,liczby dodatnie
03,Liczby całkowite,3,|−5| = ?,0,−5,5,C,5
